target,model,roc_auc,pr_auc,precision@top10%,other
time: y_slippage_flag,model,0.857,0.878,0.952,-
time: y_slippage_flag,baseline(is_past_orig_doc),0.594,0.614,0.765,-
time: y_new_slippage_m,model,-,-,-,MAE=7.02
time: y_new_slippage_m,baseline(median),-,-,-,MAE=9.07
cost: y_cost_overrun_flag,model,0.838,0.678,0.796,-
cost: y_cost_overrun_flag,baseline(is_past_orig_doc),0.612,0.354,0.290,-
cost: y_new_cost_escalation_pct (p50),model,-,-,-,"pinball=9.59, coverage=0.58 (target 0.50)"
cost: y_new_cost_escalation_pct (p90),model,-,-,-,"pinball=9.17, coverage=0.81 (target 0.90)"
