uid,project_name,risk_score,archetype_id,archetype_label
706865,Chandorgaon-Cansaulim rail flyover 16 km Umbrella work PB57/2019-20/NR,46.53842695544358,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
705433,Dallirajhra- Rowghat New Railway Line - Phase I [95 km],46.42974456241651,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618204,Construction of realignment between Pandrass- Pashkyun Total length 27.10 km on road Zozila-Kargil -Leh NH-1 to 2 lane specifications i.e. Drass alignment 9.30 km Kharboo realignment 6.30 km & Kargil alignment 11.50 km under project Vijayak BRO in the UT of Ladakh on EPC Mode,46.38311230653815,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618221,Rehabilitation and upgradation to 2 lane with paved shoulder from existing chainage Km 166.100 to Km 192.98 design chainage Km 146.700 to Km 162.800 including construction of Bhimber Gali Tunnel Total Length of Tunnel 1.100 Km under 31 BRTF on Akhnoor-Poonch Roads on EPC mode NH-144A Package-VII,46.35267808403891,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
610984,Development of Jharia CBM Block [Phase-1],46.320308925877576,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
701415,Polavaram Irrigation Project,46.30694644203143,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
705457,Ratlam-Mhow-Khandwa-Akola 472.64 km including material modification for Fatehabad-Chandrawati Ganj-Ujjain 22.96 km and Rau-DADN doubling 9.40 km,45.54400013546961,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618228,construction of a new 4 lane Parallel to existing MG Setu with its approaces from km 0.00 to km 14.500 across river Ganga on NH-19 at Patna in the state of Bihar.,44.70274110142269,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618447,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur NH- 717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,43.92299472487565,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618056,Improvement and Up-gradation to two Lane with Paved Shoulder Configuration from existing km. 420.00 Shohrathgarh to km. 454.00 Uska Bazar of NH-730 in the state of Uttar Pradesh EPC basis,43.770896357461055,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618417,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length 25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the state of Tripura on EPC basis under NHO-NE",43.69795190006904,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618139,Rehabilitation and Up-gradation of Gangakhed Loha section of NH-361F from Km 169/00 to 210/00 to two lane with paved shoulder/ four lane configuration in the state of Maharashtra on EPC mode Length - 41.00 Km.,43.17239244236768,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
701372,Sardar Sarovar Project,42.978982765172574,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618011,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major realignment at Bishangarh 6 Jalore Bypass 7 Ahore Town portion 8 Dujana Bypass in the state of Rajasthan on EPC Mode,42.93927254707325,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618296,Balance work of Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 old NH-150 from existing km 98.380 near Chizami vill. to km120.367 Nagaland/Manipur Border [Design km 95.700 to design km 117.200] [Design Length 21.500 km] in the state of Nagaland Under Bharatmala Pariyojna on EPC Mode Package-V under NHO,42.82784928390397,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618130,Widening to 2 lane with paved shoulders from 0.00 to 32.970 ofAdilabadto Bela section of NH 353B in the State of Telangana,40.86213210899435,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618433,Construction of Balance work of 2-Lane with PS of Joram Koloriang Road from existing Km122.600 to km138.00 [Design Km108.724 to Km123.714] in Arunachal Pradesh on EPC Mode under SARDP-NE Pkg-7,40.619794537475485,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
400119,Life Extension of 48 well platforms of Mumbai High & Heera Fields,39.388104393276265,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
