uid,project_name,risk_score,driver_1_feature,driver_1_shap,driver_2_feature,driver_2_shap,driver_3_feature,driver_3_shap,driver_4_feature,driver_4_shap,driver_5_feature,driver_5_shap
618505,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,95.64533475885555,cost_revision_to_date_pct,20.639,agency,14.518,elapsed_ratio,6.456,months_past_orig_doc,4.119,orig_duration_m,2.838
618861,Bakhtiyarpur-Rajauli Pkg-II from km. 54.405 to km.101.630,95.6333982660503,agency,14.534,state,12.112,elapsed_ratio,9.866,doc_slip_to_date_m,-5.155,financial_progress_pct,4.303
618630,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C Pkg-II,95.4720225961342,cost_revision_to_date_pct,14.233,agency,10.044,elapsed_ratio,9.226,state,3.488,snapshot_index,2.821
618951,Hariharganj to Parwa Mode section from km 23.284 to km 57.049 of NH-98,95.45847651544116,agency,15.604,elapsed_ratio,8.097,financial_progress_pct,6.576,months_past_orig_doc,4.282,doc_slip_to_date_m,-3.37
619301,Construction of Approach Road to Rail-cum- Road Bridge across river Ganga at Munger Ghat NH-333 B,95.39545908971124,state,14.611,agency,13.464,elapsed_ratio,8.873,months_past_orig_doc,7.805,doc_slip_to_date_m,-6.655
619163,4L of Baramati to Indapur Pkg-II from km. 41.400 to km. 84.550 of NH-965G Saint Tukaram Marg,95.3450509795074,agency,14.83,elapsed_ratio,8.105,months_past_orig_doc,6.039,doc_slip_to_date_m,-5.034,cost_revision_to_date_pct,3.792
618517,4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20,95.23102716346902,cost_revision_to_date_pct,15.765,agency,10.938,elapsed_ratio,9.516,state,5.313,snapshot_index,2.493
618504,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],95.20064495815753,agency,15.245,elapsed_ratio,7.582,state,6.441,financial_progress_pct,5.373,months_past_orig_doc,5.209
619078,Six Laning of Bihar - Jharkhand Border Chordaha - Gorhar section of NH-2 from km 249.525 to km 320.810,95.1993018926101,agency,16.999,elapsed_ratio,10.588,doc_slip_to_date_m,-7.446,months_past_orig_doc,5.987,cost_revision_to_date_pct,2.819
618942,Balance work of 2L PS from Km 30.800 to Km 70.800 and 2L with Rigid Carriageway from Km 70.800 to km 84.120 of Khanapur- KA/GOA Border section of NH-4A,95.18659706920003,cost_revision_to_date_pct,21.418,agency,12.616,elapsed_ratio,6.842,months_past_orig_doc,4.3,doc_slip_to_date_m,-4.182
